drug_row,drug_col,cell_line_name,drug_row_cid,drug_col_cid,synergy_zip,synergy_bliss,synergy_loewe,synergy_hsa,S,label
DEXAMETHASONE,BEZ-235,A375,5743,11977753,7.467289334,5.9305754639999995,-37.23275368,3.3917970939999997,15.756875,Additive
ETOPOSIDE,BEZ-235,A375,36462,11977753,5.283625236000001,4.527633893,8.306352442,11.52755985,-3.553625,Synergy
GELDANAMYCIN,BEZ-235,A375,5288382,11977753,6.117280263,4.786918002,6.927107222999999,10.31731945,4.6735,Synergy
LAPATINIB,BEZ-235,A375,208908,11977753,7.942587938,7.18751426,-18.79754784,8.944114551,13.05175,Additive
METFORMIN,BEZ-235,A375,4091,11977753,6.577860747999999,5.35153972,-35.94312573,5.7595002189999995,11.570125,Additive
MK-2206,BEZ-235,A375,24964624,11977753,15.23152152,13.19451438,-20.42290111,13.77320665,17.017625,Additive
MK-5108,BEZ-235,A375,24748204,11977753,8.007533834,8.974582107,-14.6641136,9.030606047000001,14.5925,Additive
PD325901,BEZ-235,A375,9826528,11977753,-1.5289779069999998,-2.229301335,4.253916387,6.815866897,-26.884625,Additive
TEMOZOLOMIDE,BEZ-235,A375,5394,11977753,10.13687649,10.14387366,1.098948063,12.26018099,16.759875,Synergy
ZOLINZA,BEZ-235,A375,5311,11977753,2.938271635,0.61971244,1.416645465,4.731177765,22.078125,Synergy
5-FU,BORTEZOMIB,A375,3385,387447,0.822089895,-1.236087724,-12.99342314,-0.7255335540000001,23.04225,Additive
AZD1775,BORTEZOMIB,A375,24856436,387447,1.736691433,0.679508387,-1.1886610690000001,1.952174209,11.173875,Additive
DEXAMETHASONE,BORTEZOMIB,A375,5743,387447,3.3492551589999997,2.704645259,-55.83020892,0.371598544,18.416,Additive
ETOPOSIDE,BORTEZOMIB,A375,36462,387447,0.034854172999999995,-0.718944867,-1.8925819190000002,1.212654294,-4.856875,Additive
LAPATINIB,BORTEZOMIB,A375,208908,387447,3.223131576,-0.91254493,-42.95161222,-0.981386179,20.218,Additive
METFORMIN,BORTEZOMIB,A375,4091,387447,-0.5261990120000001,-2.358130719,-8.675001915,-2.6153785309999997,5.1785,Antagonism
MK-2206,BORTEZOMIB,A375,24964624,387447,1.162117197,0.967969477,-42.19452421,0.75004184,11.652000000000001,Additive
MK-5108,BORTEZOMIB,A375,24748204,387447,-0.43031277700000004,-2.585302788,-34.1094224,-3.503905866,1.834,Antagonism
PD325901,BORTEZOMIB,A375,9826528,387447,-1.474512719,-2.479742549,-5.798115234,0.448543321,-26.93075,Additive
TEMOZOLOMIDE,BORTEZOMIB,A375,5394,387447,0.147183165,-1.298629793,-24.35096275,-1.086680853,6.245375,Additive
ZOLINZA,BORTEZOMIB,A375,5311,387447,3.285146865,2.587419137,-1.993310846,3.6807895439999996,33.888625,Additive
5-FU,DASATINIB,A375,3385,3062316,0.519718847,0.9861542740000001,-1.53364306,4.3404099160000005,38.52525,Additive
AZD1775,DASATINIB,A375,24856436,3062316,19.85316682,19.64548336,19.815025,24.64067255,44.9589375,Synergy
BORTEZOMIB,DASATINIB,A375,387447,3062316,-1.073757197,-0.713756092,-3.03091049,0.179811941,14.682375,Additive
DEXAMETHASONE,DASATINIB,A375,5743,3062316,17.33236939,18.91049769,-19.46901898,15.54594035,35.808875,Additive
ETOPOSIDE,DASATINIB,A375,36462,3062316,5.203752056,5.199337063,7.3833761870000005,11.00056925,19.83025,Synergy
LAPATINIB,DASATINIB,A375,208908,3062316,-2.712639836,-5.509445435,-15.99158254,-3.167165387,18.347,Antagonism
METFORMIN,DASATINIB,A375,4091,3062316,-2.622625888,-3.007090945,-57.14482002,-2.472219155,17.72325,Antagonism
MK-2206,DASATINIB,A375,24964624,3062316,18.86326005,19.04784799,2.8996398869999997,19.84491473,32.130875,Synergy
MK-5108,DASATINIB,A375,24748204,3062316,2.537439265,6.991546833999999,-2.262037462,6.983556565,25.701375,Additive
PD325901,DASATINIB,A375,9826528,3062316,7.861991111,6.540349145,10.47168496,13.14292952,-1.0285,Synergy
TEMOZOLOMIDE,DASATINIB,A375,5394,3062316,-4.094877353,0.149191608,-13.99646779,1.94786971,22.4755,Additive
ZOLINZA,DASATINIB,A375,5311,3062316,-4.071676236,-5.76517809,-7.187555809,-2.443728274,35.116125,Antagonism
5-FU,DINACICLIB,A375,3385,46926350,3.1873135039999996,4.188030033,-9.210846467,4.937813946,29.70825,Additive
ABT-888,DINACICLIB,A375,11960529,46926350,7.6155150439999995,6.571177334,-57.05374378,4.189631712,21.110125,Additive
AZD1775,DINACICLIB,A375,24856436,46926350,6.885068927000001,6.552814347000001,1.767549763,8.442941432000001,21.624625,Synergy
BEZ-235,DINACICLIB,A375,11977753,46926350,6.353051456,6.079131635,4.016660504,8.524238031,5.609875,Synergy
BORTEZOMIB,DINACICLIB,A375,387447,46926350,3.239873425,1.990796816,-2.622676887,2.322238409,7.928875,Additive
DASATINIB,DINACICLIB,A375,3062316,46926350,1.923534114,2.743709291,-0.38002163,4.350896197,19.27725,Additive
DEXAMETHASONE,DINACICLIB,A375,5743,46926350,6.105701827000001,7.10673469,-56.80647815,4.430563524,17.432125,Additive
ETOPOSIDE,DINACICLIB,A375,36462,46926350,-16.34903278,-37.88367929,-40.20559704,-35.28333946,-50.27375,Antagonism
GELDANAMYCIN,DINACICLIB,A375,5288382,46926350,10.33859058,9.881646769,7.559752607999999,11.53825633,24.011875,Synergy
LAPATINIB,DINACICLIB,A375,208908,46926350,7.288630032,7.132604215,-39.94528502,6.586445696,26.806375,Additive
METFORMIN,DINACICLIB,A375,4091,46926350,5.779953412999999,2.1694298990000003,-10.64536114,1.201859594,18.0005,Additive
MK-2206,DINACICLIB,A375,24964624,46926350,6.714806291,4.624620886000001,-55.730856499999994,3.744998605,16.65,Additive
MK-5108,DINACICLIB,A375,24748204,46926350,2.600900249,3.527967282,-21.66286894,2.234646169,14.963375,Additive
PD325901,DINACICLIB,A375,9826528,46926350,-0.737446002,-0.843873007,-0.657373987,2.874662405,-22.675375,Additive
TEMOZOLOMIDE,DINACICLIB,A375,5394,46926350,-2.906424688,-6.298918842000001,-35.27575313,-6.108636462000001,1.61825,Antagonism
ZOLINZA,DINACICLIB,A375,5311,46926350,-0.354036584,-4.014894733999999,-9.571288595,-3.324110456,22.338375,Antagonism
5-FU,GELDANAMYCIN,A375,3385,5288382,6.660729665,5.5522497060000005,3.981723797,8.96572221,34.201,Synergy
ABT-888,GELDANAMYCIN,A375,11960529,5288382,8.802286998,8.363041083999999,-31.85667155,5.686170344,17.63625,Additive
AZD1775,GELDANAMYCIN,A375,24856436,5288382,7.900751685,7.040908114,7.337641546,12.25791967,22.65975,Synergy
BORTEZOMIB,GELDANAMYCIN,A375,387447,5288382,3.783504976,4.142192552,-1.451990483,5.595426941,13.106875,Additive
DASATINIB,GELDANAMYCIN,A375,3062316,5288382,9.866179816,8.79443659,10.3189652,13.32934254,31.80375,Synergy
DEXAMETHASONE,GELDANAMYCIN,A375,5743,5288382,5.976358638,5.763857972,-34.78123405,2.761607844,13.202,Additive
ETOPOSIDE,GELDANAMYCIN,A375,36462,5288382,0.37025779700000006,-1.047878923,1.455255182,4.708839247,2.63625,Additive
LAPATINIB,GELDANAMYCIN,A375,208908,5288382,9.509703251,7.00337996,-6.135426655,9.466814022000001,25.8135,Additive
METFORMIN,GELDANAMYCIN,A375,4091,5288382,2.379292176,-2.1446255730000003,-49.06230632,-1.662189031,12.582,Additive
MK-2206,GELDANAMYCIN,A375,24964624,5288382,7.71656356,5.6153482089999995,-16.89615247,6.346399095,16.513125,Additive
MK-5108,GELDANAMYCIN,A375,24748204,5288382,0.566640578,0.46576326700000004,-16.53215232,0.497380737,6.00475,Additive
PD325901,GELDANAMYCIN,A375,9826528,5288382,-3.1043865189999997,-3.9044318760000003,0.979112841,3.543513041,-21.053875,Additive
TEMOZOLOMIDE,GELDANAMYCIN,A375,5394,5288382,0.700085565,-0.038877512999999995,-7.528875171,1.967547835,7.11775,Additive
ZOLINZA,GELDANAMYCIN,A375,5311,5288382,-3.866631649,-9.132135198,-10.61318318,-5.551198329,14.24825,Antagonism
5-FU,LAPATINIB,A375,3385,208908,-0.275786553,-0.005642405,-2.86645154,2.105755801,27.04575,Additive
AZD1775,LAPATINIB,A375,24856436,208908,6.41448314,6.937115387,-18.74518479,8.890228807,24.543875,Additive
DEXAMETHASONE,LAPATINIB,A375,5743,208908,1.52203279,-0.474881361,-3.63707187,-4.462679406,6.3565,Additive
ETOPOSIDE,LAPATINIB,A375,36462,208908,3.5389302639999998,1.192008525,-18.07071551,3.439559607,13.333875,Additive
METFORMIN,LAPATINIB,A375,4091,208908,-1.2272089609999999,-5.234485274,-1.671975138,-4.593679406000001,-2.842375,Antagonism
TEMOZOLOMIDE,LAPATINIB,A375,5394,208908,4.59188005,4.443275954,5.877489966000001,4.692648303,6.53925,Synergy
ZOLINZA,LAPATINIB,A375,5311,208908,3.7466631280000002,3.881584917,-10.73932293,6.013074104,39.588625,Additive
5-FU,MK-2206,A375,3385,24964624,-0.34822037299999997,-0.30711963600000003,-3.906253881,0.274920588,22.076125,Additive
AZD1775,MK-2206,A375,24856436,24964624,8.785986737,8.128844098,-25.01762634,8.809657009,21.09075,Additive
DEXAMETHASONE,MK-2206,A375,5743,24964624,4.668070595,9.060223149,6.243699974,4.9759110060000005,6.999375,Synergy
ETOPOSIDE,MK-2206,A375,36462,24964624,11.70240955,11.25363671,-7.783671967,12.04999711,16.321125,Additive
LAPATINIB,MK-2206,A375,208908,24964624,5.7894426160000005,7.350216291000001,10.06112262,8.217517761,8.9633125,Synergy
METFORMIN,MK-2206,A375,4091,24964624,2.636220674,0.8172680040000001,2.0356307769999997,0.984397427,0.328625,Synergy
MK-5108,MK-2206,A375,24748204,24964624,1.889563937,5.521741976,2.33671842,4.342246694,4.375375,Synergy
TEMOZOLOMIDE,MK-2206,A375,5394,24964624,3.956251325,3.642712737,4.352001553,3.461985088,4.13875,Synergy
ZOLINZA,MK-2206,A375,5311,24964624,2.3610366640000002,-1.314926941,-21.88669612,-0.6745070209999999,34.63075,Additive
5-FU,MK-5108,A375,3385,24748204,1.287070196,4.884385592,1.7213614640000001,4.55042238,28.212125,Synergy
AZD1775,MK-5108,A375,24856436,24748204,-1.15908729,-0.941492984,-28.27256017,-0.94795799,11.948,Antagonism
DEXAMETHASONE,MK-5108,A375,5743,24748204,8.037066682,12.24868675,2.8021126510000003,8.114169961,12.77275,Synergy
ETOPOSIDE,MK-5108,A375,36462,24748204,4.810523447,6.413347116000001,-9.346447291,6.726483711,13.751,Additive
LAPATINIB,MK-5108,A375,208908,24748204,1.521514442,4.276773548,3.880359162,4.0469679119999995,7.87125,Synergy
METFORMIN,MK-5108,A375,4091,24748204,1.777615656,5.63710497,3.0373854510000005,4.343608719,6.872625,Synergy
TEMOZOLOMIDE,MK-5108,A375,5394,24748204,-3.8266196960000003,-2.03774207,-5.839856059,-3.3142079389999997,7.755875,Antagonism
ZOLINZA,MK-5108,A375,5311,24748204,3.0836355380000002,5.5445720970000005,-5.272874787,5.439665959,41.246125,Additive
5-FU,PD325901,A375,3385,9826528,-2.677488746,-3.9670361830000003,-3.862708097,0.55132272,-9.268625,Additive
AZD1775,PD325901,A375,24856436,9826528,0.758851739,0.438227528,4.2660454660000005,8.105621878,-13.5805,Synergy
DEXAMETHASONE,PD325901,A375,5743,9826528,4.756043708,4.55744537,-21.66331914,2.5098983440000002,-1.876875,Additive
ETOPOSIDE,PD325901,A375,36462,9826528,-2.664600723,-3.63727907,2.865074271,5.508422296,-27.47375,Additive
LAPATINIB,PD325901,A375,208908,9826528,3.7241309769999997,4.008160971000001,-17.84410975,5.796179594,-4.721,Additive
METFORMIN,PD325901,A375,4091,9826528,-0.357158061,-2.565375377,-26.51255613,-2.236351656,-12.1895,Antagonism
MK-2206,PD325901,A375,24964624,9826528,2.514482063,0.160087643,-22.71074536,0.7936014690000001,-9.33725,Additive
MK-5108,PD325901,A375,24748204,9826528,-1.135996524,-3.861819862,-27.27074328,-3.535086031,-12.692875,Antagonism
TEMOZOLOMIDE,PD325901,A375,5394,9826528,-3.0367646789999996,-4.051681273,-11.43269795,-0.96890728,-18.399625,Antagonism
ZOLINZA,PD325901,A375,5311,9826528,-8.151649402,-12.89981288,-10.32799965,-7.8570361989999995,-17.48925,Antagonism
5-FU,TEMOZOLOMIDE,A375,3385,5394,-6.069069492000001,-6.922506009,-23.24441596,-5.66485937,13.538125,Antagonism
DEXAMETHASONE,TEMOZOLOMIDE,A375,5743,5394,-0.40795287,2.67131014,-1.3886508130000002,-1.099456306,4.5835,Additive
ETOPOSIDE,TEMOZOLOMIDE,A375,36462,5394,-12.20563193,-25.25955487,-39.60874684,-22.9507532,-28.660625,Antagonism
METFORMIN,TEMOZOLOMIDE,A375,4091,5394,-0.670279949,-2.7584182580000003,-3.180449983,-3.003036621,-5.919,Antagonism
ZOLINZA,TEMOZOLOMIDE,A375,5311,5394,3.429073041,2.349207497,-11.98622834,3.3307356930000003,34.772375,Additive
5-FU,ZOLINZA,A375,3385,5311,1.988998314,2.3025649130000003,-3.9276400089999997,4.703193042,52.810375,Additive
DEXAMETHASONE,ZOLINZA,A375,5743,5311,3.112980781,6.227371185,-35.39946839,3.0928500939999997,38.208625,Additive
ETOPOSIDE,ZOLINZA,A375,36462,5311,-13.8992158,-31.33537434,-31.50754126,-26.93178446,-27.308625,Antagonism
METFORMIN,ZOLINZA,A375,4091,5311,-0.499430859,-2.1031537890000003,-77.36239032,-1.599462406,32.074,Antagonism
